query_product,query_leaf_category,precision@5,recall,average_precision
Kuja paris Loafers,loafers,1.0,0.053763440860215055,1.0
Shopkeeda Abstract Cushions Cover,living,1.0,0.3333333333333333,1.0
Amit Carpet Polyester Medium Door Mat ACI20160342,polyester medium door mat aci2016034,1.0,0.009124087591240875,1.0
Rk Plant Container Set,plant container sets,1.0,0.018726591760299626,1.0
"Merchbay Protect Accessory, Kishore Ghosh Jewellery, Make up Vanity Jewellery",vanity boxes,1.0,0.18518518518518517,1.0
The Crafts House Showpiece  -  6.5 cm,showpieces,1.0,0.04716981132075472,1.0
"Srsb Dora Balloon, Train Art Plastic Pencil Box",geometry pencil boxes,1.0,0.030864197530864196,1.0
Proganix Agave Nectar Plus Silica Curling Cream Plus Defrizzant Hair Styler,agave nectar plus silica curling cream,1.0,0.00865051903114187,1.0
DailyObjects Back Cover for Apple iPad Mini/Retina Display,cases covers,1.0,0.007886435331230283,1.0
Milton School 1000 ml Water Bottle,bottles sippers,1.0,0.009633911368015413,1.0
Majik Styling Decoration Hair Clip,styling decoration hair clip multicolor,1.0,0.00865051903114187,1.0
Rajesh Digital THANKYOU- 55 Ceramic Mug,coffee mugs,1.0,0.02512562814070352,1.0
Calico Critters Cottontail Rabbit Twins,cottontail rabbit twins multico,1.0,0.018796992481203006,1.0
Miss Chase Women's Sheath Dress,dresses,1.0,0.013966480446927373,1.0
Voylla Yellow Gold Plated Fabric Necklace,necklaces,1.0,0.003961965134706815,1.0
Rajo Raja Magan Buddha Artpiece Showpiece  -  20.5 cm,ethnic,1.0,0.038461538461538464,1.0
Viral Shopping Steering Cover For Chevrolet Sail,steering covers,1.0,0.625,1.0
Northern Lights Striped Men's Polo Neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
LinkedInLove White Gold Diamond White Gold 18 K Ring,rings,1.0,0.008635578583765112,1.0
"VR Designers Acrylic, Metal Necklace",necklaces,1.0,0.003961965134706815,1.0
Pico PS-BLM1  Camera Battery Charger,battery chargers,1.0,0.45454545454545453,1.0
RCE Toshiba Satellite A100 6 Cell Laptop Battery,batteries,1.0,0.07692307692307693,1.0
Pet Club51 PC293 M Pet Bed,furniture,1.0,0.08771929824561403,1.0
PRINT SHAPES Peacock Feather Laptop Skin with Mouse pad Combo Set,peacock feather laptop skin mo,1.0,0.011013215859030838,1.0
Karatcraft Robini Emerald Gold Diamond 18 K Ring,rings,1.0,0.008635578583765112,1.0
Modx Steering Cover For Hyundai Xcent,steering covers,1.0,0.625,1.0
Satynam Women's Nighty,night dresses nighties,1.0,1.0,1.0
Himtek light led 1 USB Led Light,usb gadgets,1.0,0.04132231404958678,1.0
Vaishna Fashion Women's Full Coverage Bra,bras,1.0,0.006273525721455458,1.0
Saihan SHN ES-62 REVLNSHD 1pack  Lens Hood,shn es 62 revlnshd 1pack lens hood 58,1.0,0.07246376811594203,1.0
Oviyon Printed Men's V-neck T-Shirt,shirts,1.0,0.004105090311986864,1.0
Dumdaar.Com Casual Short Sleeve Self Design Women's Top,tops,1.0,0.015015015015015015,1.0
JVC CS J410X Coaxial Car Speaker,cs j410x coaxial car speaker red,1.0,0.006082725060827251,1.0
"Enthopia Back Cover for iPad Mini, iPad Mini 2, iPad Mini Retina",cases covers,1.0,0.007886435331230283,1.0
YugshaJewels Brass Necklace,necklaces,1.0,0.003961965134706815,1.0
